name,brand,price,link,color01
【SCANDINAVIAN FOREST 北歐小刺蝟】COMBO209厚底輕量結構老爹鞋/增高鞋/休閒鞋/小白鞋(多色任選),SCANDINAVIAN FOREST ,"2,580",https://m.momoshop.com.tw/goods.momo?i_code=11414459&mdiv=searchEngine&oid=9_14&kw=%E5%A5%B3%E9%9E%8B,白色米色膚色卡其色多色
【MLB】老爹鞋 Chunky Runner系列 紐約洋基隊(3ASHCRR3N-50BKS),MLB,"4,690",https://m.momoshop.com.tw/goods.momo?i_code=12078810&mdiv=searchEngine&oid=13_10&kw=%E5%A5%B3%E9%9E%8B,黑色
【Keds】TRIPLE KICK 時尚皮革厚底休閒小白鞋(白),Keds,"2,287",https://m.momoshop.com.tw/goods.momo?i_code=11357704&mdiv=searchEngine&oid=18_5&kw=%E5%A5%B3%E9%9E%8B,白色
【SCANDINAVIAN FOREST 北歐小刺蝟】挪威森林．雨天首選防潑水短靴(厚底增高款),SCANDINAVIAN FOREST ,"2,180",https://m.momoshop.com.tw/goods.momo?i_code=12106113&mdiv=searchEngine&oid=26_18&kw=%E5%A5%B3%E9%9E%8B,黑色白色綠色膚色卡其色多色
【FILA】休閒鞋 Ranger 女鞋 奶油白 淡藍 經典 復古 老爹鞋 皮革 厚底 增高(5J306X135),FILA,"1,580",https://m.momoshop.com.tw/goods.momo?i_code=10948572&mdiv=searchEngine&oid=20_14&kw=%E5%A5%B3%E9%9E%8B,米色
【NEW BALANCE】NB 302 復古運動鞋 休閒鞋 女鞋 男鞋 厚底 增高 白 粉 紫 綠 黑(CT302LA-D CT302SP-D),NEW BALANCE,"2,880",https://m.momoshop.com.tw/goods.momo?i_code=9500627&mdiv=searchEngine&oid=6_11&kw=%E5%A5%B3%E9%9E%8B,黑色白色黃色綠色紫色米色桃色粉紅色多色
【SKECHERS】女鞋 運動系列 瞬穿舒適科技 SKECH-AIR ELEMENT 2.0(149676LTMV),SKECHERS,"3,790",https://m.momoshop.com.tw/goods.momo?i_code=11349475&mdiv=searchEngine&oid=23_2&kw=%E5%A5%B3%E9%9E%8B,紫色粉紅色
【NIKE 耐吉】休閒鞋 Wmns Air Force 1 07 SE 女鞋 白 灰 花卉 刺繡 彩勾 AF1(FN8924-111),NIKE,"3,180",https://m.momoshop.com.tw/goods.momo?i_code=11627097&mdiv=searchEngine&oid=13_20&kw=%E5%A5%B3%E9%9E%8B,白色灰色多色
【NIKE 耐吉】 休閒鞋 W Waffle Trainer 2 復古 女鞋 運動鞋 麂皮 復古 單一價 DA8291100(DA8291-100),NIKE ,"1,280",https://m.momoshop.com.tw/goods.momo?i_code=10756588&mdiv=searchEngine&oid=20_10&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【NIKE 耐吉】 休閒鞋 Wmns Air Max 97 女鞋 氣墊 復古慢跑鞋 反光 單一價(DH1592-100),NIKE ,"2,980",https://m.momoshop.com.tw/goods.momo?i_code=10441151&mdiv=searchEngine&oid=27_8&kw=%E5%A5%B3%E9%9E%8B,黑色白色粉紅色
【NEW BALANCE】NB 運動鞋/復古鞋_男鞋/女鞋_白色_BB550WWW-D(陳柏霖著用款),NEW BALANCE,"2,944",https://m.momoshop.com.tw/goods.momo?i_code=11792602&mdiv=searchEngine&oid=8_5&kw=%E5%A5%B3%E9%9E%8B,白色
